utc_ts,utc_dt,spot_usd_price,instrument_name,quote_currency,base_currency,volume,open_interest,type,strike,underlying_price,expiry,time_to_expiry,low,high,last,bid_price,ask_price,mid_price,mark_price,usd_bid,usd_ask,usd_mid,usd_mark,iv_bid,iv_ask,iv_mid,iv_mark,apy_bid,apy_ask,apy_mid,apy_mark,premium
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-32000-P,BTC,BTC,0.0,11.5,p,32000,19130.21,2023-03-31 08:00:00,0.4662362396956246,,,0.6995,0.6555,0.762,0.70875,0.70993606,12503.498625,14534.9595,13519.2290625,13541.852860485,,0.9003832717089676,0.6472617927704934,0.6539891309715897,1.405939616422639,1.6343645884272326,1.5201521024249358,1.5226960059206707,12503.498625
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-34000-P,BTC,BTC,0.0,0.0,p,34000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,0.80776775,,,,15407.9678893125,,,,0.6591073783516981,,,,1.7325288796240703,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-35000-P,BTC,BTC,0.0,2.3,p,35000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.826,,,,0.85726032,,,,16352.026288919998,,,,0.6614125860147729,,,,1.838682296682149,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-36000-P,BTC,BTC,0.0,0.0,p,36000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,0.9073106,,,,17306.72286735,,,,0.6652578035624276,,,,1.9460319099011356,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-38000-P,BTC,BTC,0.0,0.6,p,38000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,0.863,,,,1.00788919,,,,19225.2343269525,,,,0.6703978899101594,,,,2.1617564320139198,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-40000-P,BTC,BTC,0.0,91.5,p,40000,19130.21,2023-03-31 08:00:00,0.4662362396956246,,,1.0715,0.09,1.955,1.0225,1.10922498,1716.7275,37291.13625,19503.931875,21158.189187255,,4.823147039955095,,0.6740518866019676,0.19303518760951563,4.193153241962257,2.193094214785886,2.379105023505125,1716.7275
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-42000-P,BTC,BTC,0.0,0.0,p,42000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,1.21118698,,,,23103.088846755,,,,0.676520846623066,,,,2.597796732383363,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-45000-P,BTC,BTC,0.0,0.1,p,45000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,1.04,,,,1.36496308,,,,26036.329510230004,,,,0.6767781028179098,,,,2.9276211580873595,
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-50000-P,BTC,BTC,0.0,59.4,p,50000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,1.478,0.41,,,1.62283342,7820.647499999999,,,30955.141778145,,,,0.6652695092676013,0.8793825213322378,,,3.480710596541021,7820.647499999999
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-55000-P,BTC,BTC,0.0,0.0,p,55000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,,,,1.88170048,,,,35892.966230879996,,,,0.6082991761275907,,,,4.035937835352396,
